id,Stations_id,Buses_id
1,1,1
2,1,10
3,2,1
4,3,1
5,3,10
6,3,11
7,4,1
8,4,11
9,5,1
10,5,12
11,6,1
12,6,12
13,6,13
14,7,1
15,7,12
16,7,13
17,8,1
18,8,12
19,9,1
20,9,5
21,9,10
22,10,5
23,10,12
24,11,5
25,11,9
26,12,5
27,12,9
28,13,5
29,14,5
30,15,5
31,16,5
32,17,13
33,18,5
34,18,7
35,19,7
36,19,8
37,20,7
38,20,8
39,21,7
40,22,4
41,22,6
42,22,7
43,23,6
44,23,7
45,24,7
46,24,8
47,25,2
48,25,6
49,26,2
50,26,4
51,27,2
52,27,4
53,28,4
54,29,2
55,30,2
56,31,2
57,32,2
58,32,8
59,33,8
60,34,4
61,34,8
62,35,6
63,36,3
64,36,6
65,37,3
66,38,3
67,39,3
68,39,9
69,40,3
70,40,9
71,41,3
72,41,11
73,41,13
74,42,11
75,42,13
76,43,9
77,44,9
78,45,9
79,46,11
80,46,12
81,47,11
82,47,12
83,48,11
84,49,10
85,50,10
86,51,10
87,52,10
88,53,12
89,6,11
90,17,11
